GEOID,scag_coverage_pct,scag_parcel_count,lac_coverage_pct,lac_parcel_count,coverage_diff
060371113042,23.1,3,23.77,4,0.6699999999999982
060371114011,7.43,16,12.05,17,4.620000000000001
060371114021,1.76,2,2.36,3,0.5999999999999999
060371114022,2.81,10,3.73,12,0.9199999999999999
060371114023,0.04,1,0.04,1,0.0
060371131011,0.08,1,0.76,2,0.68
060371131012,5.8,31,6.29,36,0.4900000000000002
060371131021,0.06,1,0.0,0,0.06
060371131022,2.45,7,1.63,2,0.8200000000000003
060371132111,52.82,49,0.0,0,52.82
060371132112,9.35,55,0.02,1,9.33
060371132121,2.63,16,4.03,22,1.4000000000000004
060371132122,3.7,8,7.2,9,3.5
060371132131,3.04,22,3.48,23,0.43999999999999995
060371132132,62.43,53,6.66,19,55.769999999999996
060371132311,0.56,3,0.45,3,0.11000000000000004
060371132312,0.9,3,35.47,9,34.57
060371132321,0.51,3,0.06,2,0.45
060371132322,6.14,9,6.23,7,0.09000000000000075
060371132341,5.47,4,5.27,3,0.20000000000000018
060371132342,0.0,0,0.0,0,0.0
060371132343,6.05,1,10.86,1,4.81
060371132344,22.23,10,18.91,10,3.3200000000000003
060371132351,0.33,6,0.49,20,0.15999999999999998
060371132371,3.58,31,4.29,27,0.71
060371132372,0.0,1,0.0,0,0.0
060371132381,20.66,9,20.66,8,0.0
060371132382,21.59,10,16.13,5,5.460000000000001
060371132383,0.55,2,0.0,0,0.55
060371132391,9.35,15,11.53,10,2.1799999999999997
060371132392,2.12,1,2.12,1,0.0
060371133011,0.57,2,0.0,0,0.57
060371133012,59.51,198,41.94,55,17.57
060371133031,0.33,4,0.0,0,0.33
060371133032,9.11,61,13.44,49,4.33
060371133221,0.44,4,0.0,0,0.44
060371133222,5.99,2,6.79,4,0.7999999999999998
060371133231,81.44,73,9.54,28,71.9
060371133232,8.05,6,8.11,6,0.05999999999999872
060371133241,14.06,7,2.04,5,12.02
060371134231,0.48,1,0.48,1,0.0
060371134232,2.28,6,3.31,7,1.0300000000000002
060371134241,13.42,32,13.8,26,0.3800000000000008
060371134242,1.43,4,1.06,3,0.3699999999999999
060371134251,9.07,1,0.0,0,9.07
060371134252,16.77,13,8.27,10,8.5
060371134261,5.8,28,5.37,22,0.4299999999999997
060371134271,1.81,1,0.0,0,1.81
060371134272,0.0,0,0.0,0,0.0
060371134281,0.0,0,0.0,0,0.0
060371134282,0.61,2,0.0,0,0.61
060371134283,5.0,7,5.0,6,0.0
060371151011,0.62,5,0.85,7,0.22999999999999998
060371151012,0.32,4,0.1,1,0.22
060371151013,0.69,4,2.82,2,2.13
060371151031,0.0,1,0.0,0,0.0
060371151041,1.03,4,0.26,1,0.77
060371151042,0.0,0,0.0,0,0.0
060371151043,0.0,0,0.0,0,0.0
060371151044,0.0,0,0.1,2,0.1
060371152021,12.67,13,18.69,17,6.020000000000001
060371152022,4.5,27,9.08,39,4.58
060371152023,10.1,32,12.21,47,2.110000000000001
060371152031,2.91,5,2.66,5,0.25
060371152032,24.21,7,36.47,11,12.259999999999998
060371152041,4.0,10,4.57,11,0.5700000000000003
060371152042,100.0,52,7.66,3,92.34
060371153011,0.0,0,0.0,0,0.0
060371153012,0.7,1,1.67,1,0.97
060371153013,0.28,1,0.0,0,0.28
060371153014,16.66,2,16.66,2,0.0
060371153021,0.0,0,0.0,0,0.0
060371153022,32.09,13,38.34,17,6.25
060371153023,1.73,3,1.92,3,0.18999999999999995
060371154011,1.63,2,0.0,0,1.63
060371154012,1.34,2,0.77,1,0.5700000000000001
060371154013,3.08,6,2.83,6,0.25
060371154014,5.48,3,0.79,2,4.69
060371154031,27.56,48,14.58,34,12.979999999999999
060371154032,8.62,10,10.4,14,1.7800000000000011
060371154041,2.62,14,1.77,8,0.8500000000000001
060371154042,11.22,34,14.33,32,3.1099999999999994
060371171011,0.0,0,0.0,0,0.0
060371171012,0.0,0,0.0,0,0.0
060371171013,7.14,3,8.31,4,1.1700000000000008
060371171021,0.6,2,0.0,0,0.6
060371171022,1.7,18,1.37,3,0.32999999999999985
060371172011,2.07,6,2.07,6,0.0
060371172012,1.87,4,4.32,8,2.45
060371172013,0.0,0,14.47,6,14.47
060371172021,0.53,8,0.23,3,0.30000000000000004
060371172022,0.82,2,1.48,3,0.66
060371173011,0.25,2,0.38,1,0.13
060371173012,0.32,2,0.0,0,0.32
060371173013,0.64,2,0.41,1,0.23000000000000004
060371173021,0.77,3,0.4,1,0.37
060371173022,0.46,2,0.0,0,0.46
060371173023,2.2,5,0.37,2,1.83
060371173024,8.59,16,30.0,21,21.41
060371173031,0.71,5,0.63,4,0.07999999999999996
060371173032,4.06,10,2.66,6,1.3999999999999995
